CaratSize,Clarity,Price
0.94,1 SI,2948
0.84,1 SI,2948
0.9,2 VS,2948
0.73,2 VS,2949
0.6,3 VVS,2949
0.7,2 VS,2949
1.04,1 SI,2951
0.77,3 VVS,2951
0.58,3 VVS,2951
0.62,4 F,2951
0.96,1 SI,2952
1.04,1 SI,2952
0.9,1 SI,2952
0.72,2 VS,2952
0.76,2 VS,2953
0.74,2 VS,2953
0.9,1 SI,2953
0.7,2 VS,2953
0.9,1 SI,2954
0.9,1 SI,2955
0.78,2 VS,2955
0.9,2 VS,2955
0.61,3 VVS,2956
0.7,2 VS,2956
1,1 SI,2956
0.81,2 VS,2994
0.96,1 SI,2994
1.09,1 SI,2995
0.83,3 VVS,2995
0.99,1 SI,2995
0.71,2 VS,2995
0.71,2 VS,2995
0.7,2 VS,2996
1.01,1 SI,2997
1.01,1 SI,2997
0.7,3 VVS,2998
0.67,3 VVS,3000
1.01,1 SI,3000
1.08,1 SI,3001
0.91,1 SI,3001
0.7,3 VVS,3002
0.7,2 VS,3002
1.05,1 SI,3003
1.05,1 SI,3003
1.05,1 SI,3003
0.7,2 VS,3003
0.67,3 VVS,3003
1.01,1 SI,3005
1.01,1 SI,3005
0.72,2 VS,3005
0.96,1 SI,3005
0.94,1 SI,3006
0.64,4 F,3006
0.64,4 F,3006
0.7,2 VS,3006
1.01,2 VS,3006
0.72,2 VS,3006
0.71,2 VS,3007
0.71,3 VVS,3007
0.77,1 SI,3007
0.71,3 VVS,3007
0.9,1 SI,3007
0.81,3 VVS,3007
0.76,3 VVS,3161
0.57,3 VVS,3161
1,1 SI,3161
1.01,1 SI,3162
0.67,3 VVS,3162
0.67,3 VVS,3162
0.9,2 VS,3162
0.71,3 VVS,3163
0.9,1 SI,3164
0.9,1 SI,3164
0.65,3 VVS,3164
0.9,1 SI,3164
0.94,1 SI,3164
0.8,3 VVS,3165
0.72,2 VS,3165
0.91,1 SI,3165
0.73,3 VVS,3165
0.9,1 SI,3166
0.54,4 F,3166
0.81,1 SI,3167
0.71,3 VVS,3167
0.72,3 VVS,3168
0.75,2 VS,3168
0.9,2 VS,3168
0.8,1 SI,3168
0.76,3 VVS,3161
0.57,3 VVS,3161
1,1 SI,3161
1.01,1 SI,3162
0.67,3 VVS,3162
0.67,3 VVS,3162
0.9,2 VS,3162
0.71,3 VVS,3163
0.9,1 SI,3164
0.9,1 SI,3164
0.65,3 VVS,3164
0.9,1 SI,3164
0.94,1 SI,3164
0.8,3 VVS,3165
0.72,2 VS,3165
0.91,1 SI,3165
0.73,3 VVS,3165
0.9,1 SI,3166
0.54,4 F,3166
0.81,1 SI,3167
0.71,3 VVS,3167
0.72,3 VVS,3168
0.75,2 VS,3168
0.9,2 VS,3168
0.8,1 SI,3168
0.58,3 VVS,3334
0.71,3 VVS,3335
0.91,2 VS,3336
0.76,1 SI,3337
0.71,3 VVS,3337
0.74,2 VS,3337
0.7,3 VVS,3337
0.91,1 SI,3338
0.77,3 VVS,3339
0.71,1 SI,3339
0.71,3 VVS,3339
0.99,1 SI,3339
1.01,2 VS,3339
0.74,2 VS,3341
1,1 SI,3341
0.81,2 VS,3341
0.9,1 SI,3341
0.9,3 VVS,3341
0.9,1 SI,3341
0.78,2 VS,3342
0.54,4 F,3342
0.73,3 VVS,3344
0.92,2 VS,3344
0.92,2 VS,3344
0.7,4 F,3344
1.02,1 SI,3427
0.7,3 VVS,3429
0.77,2 VS,3430
0.72,3 VVS,3431
0.75,3 VVS,3431
0.75,3 VVS,3431
0.93,1 SI,3431
0.76,2 VS,3431
1,1 SI,3431
1.04,1 SI,3432
0.8,3 VVS,3432
1.06,1 SI,3433
0.73,3 VVS,3433
0.75,2 VS,3434
0.73,2 VS,3434
1.02,2 VS,3435
0.9,1 SI,3437
1.24,1 SI,3437
0.72,3 VVS,3437
0.72,3 VVS,3437
0.93,2 VS,3437
0.62,3 VVS,3437
0.9,1 SI,3438
1.01,1 SI,3440
1.01,1 SI,3440
0.9,3 VVS,3519
0.9,3 VVS,3519
0.8,2 VS,3520
0.9,1 SI,3521
1.04,1 SI,3521
0.92,1 SI,3522
0.66,4 F,3523
0.7,3 VVS,3523
1.01,1 SI,3523
0.91,1 SI,3524
0.92,1 SI,3524
0.83,3 VVS,3524
0.72,3 VVS,3525
0.72,4 F,3525
1.01,2 VS,3525
0.71,3 VVS,3525
0.55,4 F,3527
0.71,2 VS,3527
0.9,3 VVS,3528
0.9,1 SI,3528
0.9,1 SI,3528
0.91,1 SI,3529
0.92,1 SI,3529
0.9,1 SI,3529
0.9,1 SI,3529
0.64,3 VVS,3600
1.12,2 VS,3600
0.9,1 SI,3600
0.96,1 SI,3601
1.06,1 SI,3601
1.06,1 SI,3601
1.01,1 SI,3602
0.9,2 VS,3604
0.91,2 VS,3604
0.9,2 VS,3604
0.65,3 VVS,3604
0.9,2 VS,3604
0.9,2 VS,3604
0.9,2 VS,3604
0.9,2 VS,3604
0.9,2 VS,3604
0.9,2 VS,3604
0.9,2 VS,3604
0.9,2 VS,3604
1.17,1 SI,3604
0.9,1 SI,3604
0.9,4 F,3604
0.78,2 VS,3605
0.9,1 SI,3605
0.9,1 SI,3605
0.9,1 SI,3675
0.76,2 VS,3675
0.62,3 VVS,3676
0.62,3 VVS,3676
1.01,1 SI,3676
0.91,2 VS,3677
0.91,2 VS,3677
1.01,2 VS,3677
0.76,1 SI,3678
1,1 SI,3679
1.01,1 SI,3680
1.01,1 SI,3680
1,2 VS,3680
0.71,3 VVS,3680
1,1 SI,3680
1.17,1 SI,3681
1.02,1 SI,3681
1.03,1 SI,3681
0.74,3 VVS,3682
0.9,1 SI,3683
0.9,1 SI,3683
0.9,1 SI,3683
0.9,1 SI,3683
0.9,1 SI,3683
0.7,3 VVS,3683
1.04,2 VS,3751
1,2 VS,3752
0.9,2 VS,3752
1.23,2 VS,3752
0.9,1 SI,3752
0.9,1 SI,3752
0.9,1 SI,3752
0.9,1 SI,3752
0.9,1 SI,3752
1.03,1 SI,3752
0.9,1 SI,3753
0.7,4 F,3754
1.06,1 SI,3755
1,1 SI,3755
1.01,1 SI,3756
0.7,3 VVS,3756
0.7,2 VS,3756
1.04,1 SI,3756
1.01,3 VVS,3757
0.69,3 VVS,3757
0.73,3 VVS,3757
0.73,3 VVS,3757
0.73,3 VVS,3757
0.56,4 F,3758
1.01,1 SI,3758
1.01,1 SI,3827
1.01,1 SI,3827
0.91,1 SI,3828
0.59,4 F,3828
1,1 SI,3828
1,1 SI,3828
1.05,1 SI,3829
1.05,1 SI,3829
0.91,1 SI,3829
0.91,1 SI,3829
1.05,1 SI,3829
1.03,1 SI,3830
0.95,1 SI,3830
0.83,2 VS,3830
0.7,3 VVS,3830
0.9,1 SI,3830
1.08,1 SI,3831
0.91,1 SI,3832
1.01,1 SI,3832
1.01,1 SI,3832
1.01,1 SI,3833
1.01,1 SI,3833
1.01,1 SI,3833
1.01,1 SI,3833
1.01,1 SI,3833
1.01,1 SI,3903
1.01,1 SI,3903
1.01,1 SI,3903
0.91,2 VS,3903
1.03,1 SI,3903
1.03,2 VS,3903
0.91,2 VS,3904
0.91,2 VS,3904
0.83,2 VS,3904
1,1 SI,3905
0.9,3 VVS,3905
0.9,1 SI,3905
0.8,2 VS,3907
0.82,3 VVS,3907
1.18,1 SI,3907
1.2,1 SI,3907
0.74,2 VS,3908
1.12,2 VS,3909
1.03,1 SI,3909
1.03,1 SI,3909
1.03,1 SI,3909
1.03,1 SI,3909
1.03,1 SI,3909
1.03,1 SI,3909
1.03,1 SI,3909
1.09,1 SI,3975
1.09,1 SI,3975
1.09,1 SI,3975
0.9,2 VS,3975
0.91,2 VS,3975
0.91,2 VS,3975
0.91,2 VS,3975
1.02,1 SI,3976
0.9,2 VS,3976
1.01,1 SI,3976
1.37,1 SI,3977
1.01,2 VS,3977
0.76,3 VVS,3978
0.95,1 SI,3979
0.9,1 SI,3980
1.03,1 SI,3980
1.03,1 SI,3980
1.03,1 SI,3980
0.8,3 VVS,3980
0.84,3 VVS,3980
0.74,3 VVS,3980
0.9,2 VS,3981
0.94,3 VVS,3981
1.16,2 VS,3981
1.03,1 SI,3981
1.01,1 SI,3993
0.91,3 VVS,3994
1.23,2 VS,3994
1.01,1 SI,3995
0.7,3 VVS,3995
0.91,1 SI,3995
1.06,2 VS,3996
1.05,1 SI,3997
1.03,1 SI,3997
0.95,1 SI,3997
1.03,1 SI,3997
1.21,1 SI,3998
0.7,3 VVS,3998
0.7,3 VVS,3998
1.02,1 SI,3998
1.04,1 SI,3999
1.01,1 SI,4000
1.01,2 VS,4000
1.01,2 VS,4000
1.01,2 VS,4000
1.01,2 VS,4000
1.01,3 VVS,4000
1.01,2 VS,4000
1.01,1 SI,4000
0.72,3 VVS,4001
1.09,1 SI,4001
1.17,1 SI,4001
1.05,1 SI,4001
1.04,1 SI,4002
0.96,1 SI,4002
1.13,1 SI,4002
1.09,3 VVS,4003
1.11,1 SI,4003
0.8,4 F,4003
0.8,3 VVS,4003
1,1 SI,4004
1,1 SI,4004
1,1 SI,4004
1,1 SI,4004
1,1 SI,4004
0.91,1 SI,4006
0.97,1 SI,4007
1.01,1 SI,4007
1.01,1 SI,4007
1.01,1 SI,4007
1.01,1 SI,4007
1.01,1 SI,4007
1.01,1 SI,4007
0.92,1 SI,4008
0.9,1 SI,4067
1.03,1 SI,4067
1.02,1 SI,4067
1.01,1 SI,4068
1.21,1 SI,4069
1,1 SI,4070
1.01,1 SI,4071
1.01,1 SI,4072
1.01,1 SI,4072
1.01,1 SI,4072
1.01,1 SI,4072
1.01,2 VS,4072
0.91,2 VS,4073
0.91,1 SI,4073
1.2,2 VS,4074
1.03,1 SI,4074
1,2 VS,4074
1,1 SI,4076
1.02,1 SI,4076
1,1 SI,4077
1,1 SI,4077
1,1 SI,4077
1.01,2 VS,4077
1.01,1 SI,4077
1.01,1 SI,4077
0.9,1 SI,4135
1,1 SI,4135
1.11,1 SI,4136
1.13,1 SI,4136
1.01,1 SI,4136
0.76,4 F,4136
1.09,1 SI,4137
1.1,1 SI,4137
1.09,1 SI,4137
0.9,2 VS,4137
0.9,2 VS,4137
0.91,1 SI,4137
0.66,3 VVS,4138
1.04,1 SI,4138
0.91,1 SI,4138
0.57,4 F,4139
0.77,3 VVS,4139
1.03,1 SI,4139
1.02,1 SI,4139
1.12,2 VS,4140
1.1,2 VS,4140
1,2 VS,4140
1.01,1 SI,4140
1.01,1 SI,4140
1.01,1 SI,4140
0.72,3 VVS,4204
0.91,2 VS,4204
1.05,1 SI,4204
0.91,2 VS,4204
0.91,2 VS,4204
0.81,3 VVS,4205
0.81,3 VVS,4205
1.06,1 SI,4205
0.8,2 VS,4205
1,1 SI,4206
1.06,1 SI,4206
1.11,2 VS,4206
1.11,1 SI,4206
1.11,1 SI,4206
1.08,1 SI,4207
1.26,1 SI,4207
0.9,2 VS,4208
1,1 SI,4208
1.06,2 VS,4208
1.07,1 SI,4208
0.9,1 SI,4208
1.04,1 SI,4210
0.92,2 VS,4210
1.01,1 SI,4211
1.01,1 SI,4211
0.93,1 SI,4273
0.59,4 F,4273
1,1 SI,4273
1.04,1 SI,4273
1.05,2 VS,4273
1.14,1 SI,4275
0.75,2 VS,4275
1,1 SI,4275
1.07,1 SI,4275
0.9,1 SI,4275
0.9,1 SI,4275
1.15,3 VVS,4276
1.06,1 SI,4276
0.92,2 VS,4276
1.08,3 VVS,4277
0.9,2 VS,4277
1.08,2 VS,4277
1.01,1 SI,4277
1.01,2 VS,4277
1.01,2 VS,4277
1.01,2 VS,4277
1.01,2 VS,4277
1.01,1 SI,4277
0.79,3 VVS,4278
1.07,1 SI,4278
0.93,1 SI,4338
0.81,3 VVS,4338
1.06,1 SI,4338
1,1 SI,4338
1.01,1 SI,4338
1.04,1 SI,4339
0.8,2 VS,4339
0.8,2 VS,4339
1.07,1 SI,4339
0.76,3 VVS,4341
0.8,3 VVS,4341
0.8,3 VVS,4341
0.72,4 F,4341
1.08,1 SI,4342
1.07,1 SI,4342
0.97,1 SI,4342
0.94,2 VS,4343
1.16,1 SI,4344
1.16,1 SI,4344
1.03,1 SI,4344
1.01,1 SI,4344
1,1 SI,4345
1.07,1 SI,4345
0.7,4 F,4346
1.14,1 SI,4346
0.7,3 VVS,4413
1.22,1 SI,4415
1.08,1 SI,4415
0.91,4 F,4415
1.05,1 SI,4415
1.05,1 SI,4416
1,2 VS,4416
0.96,1 SI,4416
1.01,1 SI,4416
1.01,2 VS,4416
1.01,2 VS,4416
1.01,2 VS,4416
1.01,1 SI,4416
1.01,1 SI,4416
1.01,1 SI,4416
1,1 SI,4416
1,2 VS,4416
1,1 SI,4417
1,1 SI,4417
1.01,1 SI,4417
1.01,1 SI,4417
1.23,1 SI,4418
1.35,1 SI,4418
1.05,1 SI,4418
1,1 SI,4419
1.08,1 SI,4482
1.01,1 SI,4482
1.06,1 SI,4482
0.82,2 VS,4482
0.77,3 VVS,4483
1.15,2 VS,4483
0.74,3 VVS,4484
0.92,4 F,4484
1.01,4 F,4484
1.03,1 SI,4484
1.03,1 SI,4484
1.12,1 SI,4484
1.1,1 SI,4484
0.9,2 VS,4485
1.11,1 SI,4485
1.23,1 SI,4485
0.9,2 VS,4486
1.03,1 SI,4486
1.03,1 SI,4486
1.03,1 SI,4486
1.03,2 VS,4487
1.03,1 SI,4487
1.02,1 SI,4487
1.06,1 SI,4487
1.07,1 SI,4487
0.8,3 VVS,4550
1.25,1 SI,4550
0.83,3 VVS,4551
0.83,3 VVS,4551
1.04,1 SI,4551
1.01,1 SI,4552
0.9,1 SI,4552
0.9,1 SI,4552
0.9,1 SI,4552
1.06,1 SI,4552
0.96,2 VS,4553
0.71,3 VVS,4553
0.9,2 VS,4553
0.9,2 VS,4553
0.9,2 VS,4553
1.01,1 SI,4553
0.9,1 SI,4554
1,1 SI,4554
1.25,1 SI,4554
1.2,1 SI,4554
1.2,1 SI,4554
1,3 VVS,4554
1,3 VVS,4554
1.02,1 SI,4555
1.02,1 SI,4555
1.03,1 SI,4624
1.04,1 SI,4624
0.91,3 VVS,4625
0.91,2 VS,4625
0.91,2 VS,4625
0.9,2 VS,4625
1.01,1 SI,4625
1,2 VS,4626
1.01,1 SI,4627
1.27,1 SI,4627
0.9,2 VS,4627
0.81,2 VS,4628
1.11,1 SI,4628
1.11,1 SI,4628
1.01,1 SI,4628
1.1,1 SI,4628
1,1 SI,4628
1.01,1 SI,4628
1.11,1 SI,4628
0.9,1 SI,4629
0.75,4 F,4629
1.07,1 SI,4629
0.74,4 F,4629
0.91,1 SI,4630
1,1 SI,4630
1.21,1 SI,4695
1.06,1 SI,4696
1.2,2 VS,4696
1.06,1 SI,4697
1,1 SI,4697
1,1 SI,4697
1,1 SI,4697
1,1 SI,4697
1.01,1 SI,4698
1.07,1 SI,4698
1,1 SI,4698
1,1 SI,4698
1,1 SI,4698
1.38,1 SI,4700
1.09,1 SI,4700
1.01,1 SI,4700
1.22,1 SI,4700
1,1 SI,4701
1.01,1 SI,4701
1.01,1 SI,4701
1.06,1 SI,4701
1.06,3 VVS,4701
1.02,1 SI,4702
0.9,2 VS,4702
1.09,1 SI,4703
0.8,3 VVS,4786
1.04,1 SI,4786
0.85,2 VS,4786
1.01,1 SI,4787
1,1 SI,4787
1.1,1 SI,4788
1.01,1 SI,4789
1.01,1 SI,4789
0.74,4 F,4789
1,2 VS,4789
1.01,1 SI,4790
1.23,1 SI,4790
1.07,1 SI,4790
1.02,1 SI,4791
1.02,1 SI,4791
1.06,1 SI,4791
1.17,1 SI,4792
1.1,1 SI,4792
1.21,2 VS,4792
1.02,1 SI,4792
1.23,1 SI,4792
1.23,1 SI,4792
0.7,3 VVS,4792
1.01,1 SI,4792
0.9,2 VS,4792
1.25,1 SI,4865
1.04,1 SI,4865
1.07,1 SI,4866
1.07,1 SI,4866
0.8,3 VVS,4866
1.2,1 SI,4867
0.91,2 VS,4867
0.97,2 VS,4867
1.11,1 SI,4867
1,1 SI,4868
1,1 SI,4868
1.09,1 SI,4868
0.75,3 VVS,4868
1.28,1 SI,4869
1.3,1 SI,4869
1.1,1 SI,4870
1.35,2 VS,4871
1.23,2 VS,4871
1.23,1 SI,4871
1,1 SI,4871
1.05,1 SI,4872
1,1 SI,4872
1,1 SI,4872
1.13,2 VS,4874
0.92,2 VS,4874
0.91,3 VVS,4944
1.02,1 SI,4946
1.02,1 SI,4946
1.12,2 VS,4946
1.12,1 SI,4946
1.1,1 SI,4946
1.28,2 VS,4949
1,1 SI,4950
0.9,2 VS,4950
1.25,2 VS,4950
1.25,2 VS,4950
1.04,2 VS,4950
1,1 SI,4950
1,1 SI,4950
1.01,1 SI,4950
1.03,1 SI,4951
1.23,1 SI,4952
1.27,2 VS,4952
0.84,2 VS,4952
1.1,1 SI,4952
1.14,1 SI,4952
1.06,2 VS,4953
1.04,1 SI,4955
1.12,1 SI,4955
0.91,2 VS,4955
1,2 VS,4990
1.13,1 SI,4990
1.12,3 VVS,4990
1.01,1 SI,4990
1.01,1 SI,4990
1.11,1 SI,4991
1.07,2 VS,4991
1.51,1 SI,4991
1.03,2 VS,4992
1.08,1 SI,4994
1.2,1 SI,4994
1.26,1 SI,4995
1.06,1 SI,4996
0.92,4 F,4996
1.02,4 F,4997
1.04,1 SI,4997
1.18,1 SI,4997
1,2 VS,4997
1.13,2 VS,4999
1.01,1 SI,5000
0.9,2 VS,5000
1.01,1 SI,5000
1.1,1 SI,5002
1.1,1 SI,5002
1.12,1 SI,5002
0.9,2 VS,5002
1,1 SI,5002
1,1 SI,5002
1,1 SI,5002
1.2,1 SI,5003
1.2,1 SI,5003
1.07,1 SI,5003
1.27,2 VS,5004
1.2,1 SI,5004
1.22,1 SI,5004
0.97,1 SI,5005
1,1 SI,5005
1,1 SI,5005
1,1 SI,5005
1,1 SI,5005
1,1 SI,5005
1.23,1 SI,5006
1.08,1 SI,5006
1.01,1 SI,5007
1.09,1 SI,5007
1.08,1 SI,5008
1.12,2 VS,5008
1.03,2 VS,5080
1.03,1 SI,5081
1.03,1 SI,5082
1.25,2 VS,5082
1.12,2 VS,5082
1.05,2 VS,5082
1.01,1 SI,5083
1.01,1 SI,5083
1.01,1 SI,5083
1.01,1 SI,5083
1.01,1 SI,5083
1.01,1 SI,5083
1.01,1 SI,5083
1.21,1 SI,5083
1.21,1 SI,5084
1.08,2 VS,5085
0.81,2 VS,5085
1.02,1 SI,5086
1,1 SI,5086
1,1 SI,5086
1.21,1 SI,5087
1.01,1 SI,5089
1.01,1 SI,5089
0.93,1 SI,5089
1.01,1 SI,5090
1.18,2 VS,5183
1.03,1 SI,5183
1.03,1 SI,5183
1.03,1 SI,5183
1.06,1 SI,5184
0.87,2 VS,5184
1.14,1 SI,5184
1.37,1 SI,5184
1.05,1 SI,5184
1.58,1 SI,5185
1.22,1 SI,5185
1.04,1 SI,5186
1.16,2 VS,5187
1.31,2 VS,5188
1.1,3 VVS,5188
1.23,1 SI,5189
1.26,2 VS,5189
1.02,1 SI,5189
1.15,1 SI,5189
1.15,1 SI,5189
0.9,2 VS,5190
1.14,1 SI,5190
1.21,1 SI,5191
0.9,2 VS,5191
1.4,1 SI,5192
0.97,1 SI,5292
1.28,1 SI,5293
0.81,3 VVS,5294
1.01,1 SI,5294
1.01,1 SI,5294
1.01,1 SI,5294
1.26,2 VS,5295
1.16,1 SI,5295
1.31,1 SI,5296
1.12,1 SI,5296
0.9,3 VVS,5296
1,1 SI,5297
1.2,1 SI,5298
1.21,1 SI,5299
1.53,1 SI,5300
1.2,1 SI,5300
1.04,2 VS,5300
1.04,1 SI,5300
1.5,2 VS,5301
1.02,2 VS,5301
1.02,2 VS,5301
1.03,1 SI,5302
1.16,1 SI,5303
1.01,2 VS,5304
1.32,1 SI,5304
1.04,2 VS,5405
1.18,2 VS,5406
1.28,2 VS,5407
1.13,1 SI,5407
1.13,1 SI,5407
1.11,1 SI,5408
1.12,1 SI,5411
1.28,3 VVS,5412
1.28,1 SI,5412
1.01,1 SI,5413
1.25,1 SI,5414
1.22,1 SI,5414
1.39,1 SI,5416
1.01,1 SI,5416
1.01,1 SI,5416
1.01,1 SI,5416
1.01,1 SI,5416
1.01,1 SI,5416
1.01,2 VS,5416
1.01,2 VS,5416
1.3,1 SI,5417
1.02,1 SI,5417
1.5,1 SI,5417
0.8,4 F,5418
1.29,1 SI,5418
1,1 SI,5535
1.41,1 SI,5536
1.1,1 SI,5536
1.22,1 SI,5541
1.3,1 SI,5541
1.6,1 SI,5542
1.02,1 SI,5543
1.01,1 SI,5543
1.01,2 VS,5543
1.01,2 VS,5543
1.26,1 SI,5544
1.12,4 F,5544
1,2 VS,5544
1.4,1 SI,5544
1.4,2 VS,5544
1,2 VS,5544
1.52,1 SI,5545
1.37,1 SI,5546
1.16,4 F,5547
1.23,2 VS,5547
1.15,2 VS,5547
1.17,1 SI,5548
1.06,1 SI,5548
1.22,1 SI,5548
1.2,2 VS,5548
0.9,3 VVS,5661
0.9,2 VS,5661
0.9,2 VS,5661
1.08,1 SI,5662
1.12,1 SI,5662
1.2,2 VS,5663
1.17,1 SI,5663
1.25,3 VVS,5663
1.16,1 SI,5665
1.01,1 SI,5666
1.01,1 SI,5666
1.27,1 SI,5666
1.24,1 SI,5666
1.15,2 VS,5667
1.21,1 SI,5667
1.28,1 SI,5668
1.33,2 VS,5669
1.01,1 SI,5669
1.13,4 F,5669
1.1,2 VS,5670
1.02,1 SI,5671
0.81,3 VVS,5671
1.01,1 SI,5672
1.1,1 SI,5673
1.5,1 SI,5673
1.01,1 SI,5801
1.08,3 VVS,5801
1.16,1 SI,5802
1.34,2 VS,5802
1.06,2 VS,5803
1.11,2 VS,5803
1.44,1 SI,5804
1.35,1 SI,5806
1.5,2 VS,5806
1.01,2 VS,5807
1.2,1 SI,5807
1.2,1 SI,5807
1.2,1 SI,5809
1.63,1 SI,5809
1.1,1 SI,5810
1.25,1 SI,5810
1.01,2 VS,5810
1.03,1 SI,5811
1.28,2 VS,5812
1,1 SI,5815
1.24,1 SI,5815
1.33,2 VS,5815
1.34,1 SI,5816
1.22,1 SI,5816
1.13,1 SI,5817
1.38,1 SI,5935
1.23,2 VS,5936
0.76,3 VVS,5938
0.84,3 VVS,5938
1.07,3 VVS,5938
1.01,2 VS,5939
1.24,3 VVS,5940
1.06,1 SI,5941
1,2 VS,5941
1.35,1 SI,5943
0.81,3 VVS,5944
1.13,1 SI,5945
1.23,1 SI,5945
1.55,1 SI,5946
0.9,3 VVS,5946
1.08,1 SI,5946
1.32,1 SI,5946
1.06,1 SI,5947
1.17,1 SI,5947
0.99,1 SI,5948
1.04,1 SI,5949
1.03,1 SI,5949
1.26,2 VS,5950
1.25,2 VS,5950
1.2,1 SI,5951
1.25,2 VS,5982
1.11,2 VS,5983
1.05,2 VS,5983
1.04,1 SI,5983
1,2 VS,5985
1.01,2 VS,5986
1.23,2 VS,5987
1.23,3 VVS,5987
1.43,1 SI,5987
1.2,2 VS,5988
1.27,3 VVS,5988
1.01,2 VS,5988
1.01,2 VS,5988
1.01,1 SI,5989
1.01,1 SI,5989
1.01,1 SI,5989
1.01,1 SI,5989
1.01,1 SI,5991
1.3,4 F,5994
1.13,3 VVS,5994
1.01,3 VVS,5994
1.07,1 SI,5994
1.02,2 VS,5995
1.33,1 SI,5997
1.2,2 VS,5997
1.01,2 VS,6002
1.01,1 SI,6003
0.85,3 VVS,6003
1.3,1 SI,6003
0.82,3 VVS,6004
1.47,1 SI,6005
0.8,3 VVS,6005
1.2,2 VS,6006
1.2,1 SI,6006
1.2,1 SI,6006
1.4,1 SI,6006
1,2 VS,6006
1.22,1 SI,6007
1.23,2 VS,6007
1.52,1 SI,6009
1.01,2 VS,6010
1.12,1 SI,6012
1,1 SI,6012
1.04,2 VS,6013
1.2,1 SI,6013
1.02,3 VVS,6014
1.01,3 VVS,6015
1.21,1 SI,6016
1.2,1 SI,6017
1.26,1 SI,6017
1.04,1 SI,6152
0.85,4 F,6153
1.23,1 SI,6154
1.26,2 VS,6154
1.11,2 VS,6154
1.51,1 SI,6154
1.51,2 VS,6154
1.51,2 VS,6154
1.4,1 SI,6154
1.3,4 F,6155
1.01,1 SI,6155
1.5,1 SI,6155
1.35,3 VVS,6156
1.22,1 SI,6157
1.23,2 VS,6158
1.2,1 SI,6158
1,1 SI,6158
1,2 VS,6160
1,1 SI,6160
1.01,1 SI,6161
1.3,1 SI,6163
1.34,3 VVS,6164
1.03,2 VS,6165
1.01,2 VS,6165
1.17,1 SI,6165
1.42,1 SI,6322
1.24,1 SI,6322
1.1,1 SI,6322
1.21,1 SI,6322
1.21,2 VS,6322
1.31,1 SI,6323
1.05,2 VS,6324
0.93,3 VVS,6325
1.01,2 VS,6326
1.01,2 VS,6326
1.24,1 SI,6328
1.7,1 SI,6329
0.85,3 VVS,6332
1.4,1 SI,6333
1.01,2 VS,6333
1.01,2 VS,6333
1.02,1 SI,6333
1.29,1 SI,6334
1,2 VS,6335
1,2 VS,6336
1.04,2 VS,6337
1.15,1 SI,6337
1.29,1 SI,6337
1.2,1 SI,6338
1.3,2 VS,6339
1.28,2 VS,6507
1.27,1 SI,6507
1.45,2 VS,6508
1.02,1 SI,6508
1.31,1 SI,6508
0.95,2 VS,6509
0.95,4 F,6509
0.9,2 VS,6510
1.22,1 SI,6513
1.3,3 VVS,6516
1.29,1 SI,6516
1.05,2 VS,6517
1.4,1 SI,6517
1.4,1 SI,6517
1.63,2 VS,6517
1,3 VVS,6518
1.3,1 SI,6518
1,2 VS,6521
1,2 VS,6521
1.33,1 SI,6522
1.21,2 VS,6522
1.34,1 SI,6522
1.3,1 SI,6523
1.04,3 VVS,6523
1.2,1 SI,6524
1.4,1 SI,6694
0.9,3 VVS,6695
0.9,3 VVS,6695
1.07,1 SI,6696
1.51,1 SI,6699
1.51,1 SI,6699
1.51,2 VS,6699
1.21,2 VS,6700
1.24,1 SI,6701
1.29,3 VVS,6702
1.37,1 SI,6702
0.95,4 F,6703
1.06,2 VS,6704
1.49,1 SI,6704
1.27,2 VS,6706
1.23,2 VS,6706
0.91,3 VVS,6707
1.52,2 VS,6708
1.34,2 VS,6708
1.21,2 VS,6708
1.21,2 VS,6708
1.22,2 VS,6710
1.26,1 SI,6712
1.56,2 VS,6712
1.13,1 SI,6714
1.2,1 SI,6873
1.4,1 SI,6875
1.4,2 VS,6875
1.08,2 VS,6875
1.21,2 VS,6876
1.23,3 VVS,6876
1.6,2 VS,6877
1.4,1 SI,6877
1.29,2 VS,6880
1.38,1 SI,6881
1.35,1 SI,6883
1,2 VS,6884
0.9,3 VVS,6884
1.37,3 VVS,6886
1.51,1 SI,6886
1.27,1 SI,6887
1,2 VS,6888
1,2 VS,6888
1.11,1 SI,6891
1.51,1 SI,6892
1.22,1 SI,6893
1.5,2 VS,6894
1.32,1 SI,6894
1.26,3 VVS,6897
1.32,1 SI,6897
1.2,1 SI,6969
1.01,2 VS,6969
1.22,1 SI,6972
1.3,2 VS,6976
1.11,3 VVS,6976
1.51,1 SI,6976
1.51,1 SI,6976
1.1,3 VVS,6977
1.11,2 VS,6978
1.22,2 VS,6978
1.04,1 SI,6978
1.02,2 VS,6983
1.3,1 SI,6986
1.16,2 VS,6986
1.34,1 SI,6987
1.21,2 VS,6988
1.11,1 SI,6988
1.01,2 VS,6988
1.01,2 VS,6988
1.15,1 SI,6990
1.5,1 SI,6990
1,2 VS,6990
1.55,1 SI,6990
1.01,2 VS,6992
1.41,1 SI,6992
0.96,3 VVS,6993
0.91,3 VVS,6993
1.36,1 SI,6994
1.29,1 SI,6994
1.21,1 SI,6994
1.02,2 VS,6995
1.58,2 VS,6995
1.01,2 VS,6996
1.54,2 VS,6996
1.07,2 VS,6998
1.16,3 VVS,6999
1,2 VS,7000
